Locality Cuisine,Reviews
DownTown American,20.24%
DownTown Mexican,7%
DownTown Italian,2%
DownTown Thai,0.50%
DownTown Indian,0.36%
DownTown Other,0.14%
Huntridge American,5.76%
Huntridge Mexican,10%
Huntridge Italian,1.2%
Huntridge Thai,0.8%
Huntridge Indian,1.5%
Huntridge Other,0.50%
Meadows-Village American,11.44%
Meadows-Village Mexican,5%
Meadows-Village Italian,1%
Meadows-Village Thai,0.95%
Meadows-Village Indian,0.25%
Meadows-Village Other,0.80%
Rancho-Charleston American,10.76%
Rancho-Charleston Mexican,2.70%
Rancho-Charleston Italian,1%
Rancho-Charleston Thai,0.10%
Rancho-Charleston Indian,0.10%
Rancho-Charleston Other,0.80%
DownTown-East American,6.20%
DownTown-East Mexican,7%
DownTown-East Italian,0.15%
DownTown-East Thai,1%
DownTown-East Indian,0.45%
DownTown-East Other,0.40%
