Bachelor Vegas,4,1
Bachelor Vegas,3,3
Bachelor Vegas,2,3
Bachelor Vegas,1,2
XS Nightclub,4,3
XS Nightclub,3,2
XS Nightclub,2,3
XS Nightclub,1,3
Tryst Nightclub,4,3
Tryst Nightclub,3,4
Tryst Nightclub,2,4
Tryst Nightclub,1,4
Ghostbar,4,2
Ghostbar,3,3
Ghostbar,2,3
Ghostbar,1,2
Spearmint Rhino Las Vegas,4,2
Spearmint Rhino Las Vegas,3,4
Spearmint Rhino Las Vegas,2,2
Spearmint Rhino Las Vegas,1,3
Wicked Spoon,4,4
Wicked Spoon,3,3
Wicked Spoon,2,2
Wicked Spoon,1,1
Little Darlings,4,4
Little Darlings,3,4
Little Darlings,2,4
Little Darlings,1,4
Haze Nightclub,4,2
Haze Nightclub,3,2
Haze Nightclub,2,3
Haze Nightclub,1,3
Club Paradise,4,3
Club Paradise,3,4
Club Paradise,2,4
Club Paradise,1,3
Marquee Nightclub,4,3
Marquee Nightclub,3,3
Marquee Nightclub,2,2
Marquee Nightclub,1,2
